sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample12-20rpm-60kx-34,-1.636258e-03,-1.741347e+00,1.852696e+01,-8.752289e-05,1.447924e-03,3.406636e-03,1.570949e-02,1.359682e-03,9.776694e-01,39,9.742340e-01,5.904543e-03
sample12-20rpm-60kx-42,-4.213092e-04,9.178710e+00,-1.221773e+01,-8.813101e-05,1.446698e-03,3.479416e-03,1.541126e-02,1.486375e-03,9.755308e-01,39,9.717663e-01,6.173507e-03
sample12-20rpm-60kx-44,-3.547075e-04,5.083402e+00,-1.209073e+01,-8.909141e-05,1.463939e-03,3.485338e-03,1.546310e-02,1.484200e-03,9.759745e-01,39,9.722782e-01,6.168988e-03
sample12-20rpm-60kx-6,7.478974e-03,6.751177e-01,1.372139e+00,-9.680562e-05,1.655502e-03,2.330816e-03,1.532961e-02,3.302237e-04,9.946586e-01,39,9.938368e-01,2.909858e-03
sample12-20rpm-60kx-7,-1.173180e-03,-2.591646e+00,2.005355e+01,-9.691753e-05,1.604279e-03,2.926524e-03,1.519044e-02,1.393132e-03,9.774277e-01,39,9.739550e-01,5.976733e-03
sample7-195rpm-60kx-10,7.650731e-03,7.003284e-01,1.137320e+00,-1.106935e-04,1.922372e-03,1.496933e-03,1.547521e-02,6.020445e-04,9.914972e-01,39,9.901890e-01,3.929000e-03
sample7-195rpm-60kx-11,6.806201e-03,6.628484e-01,1.434032e+00,-9.959553e-05,1.713491e-03,2.593726e-03,1.694400e-02,2.546585e-04,9.963353e-01,39,9.957715e-01,2.555329e-03
sample7-195rpm-60kx-1,7.203313e-03,-6.679783e-01,8.014587e+00,-9.729687e-05,1.666233e-03,2.521091e-03,1.603569e-02,2.424923e-04,9.962725e-01,39,9.956990e-01,2.493542e-03
sample7-195rpm-60kx-2,7.051805e-03,6.735334e-01,1.376330e+00,-9.793321e-05,1.684682e-03,2.382819e-03,1.622308e-02,2.560339e-04,9.960590e-01,39,9.954527e-01,2.562220e-03
sample7-195rpm-60kx-3,7.025547e-03,6.819810e-01,1.313601e+00,-9.999484e-05,1.728083e-03,2.190604e-03,1.626856e-02,2.932536e-04,9.955443e-01,39,9.948588e-01,2.742139e-03
