input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,input23,input24,input25,output1,output2,output3,output4,output5,output6,output7
7.059417e-02,6.298764e-02,6.072144e-02,5.865273e-02,5.461090e-02,5.258525e-02,4.984724e-02,4.824661e-02,4.787334e-02,4.413560e-02,4.402726e-02,4.372795e-02,4.355527e-02,4.175900e-02,4.018724e-02,3.753907e-02,3.667581e-02,3.620658e-02,3.557363e-02,3.542878e-02,3.514440e-02,3.324796e-02,3.288638e-02,3.262130e-02,4.413560e-02,1.080793e-07,-3.029562e-06,1.465015e-05,8.205664e-05,4.316772e-04,1.539382e-03,2.216816e-02
1.459485e-01,1.149931e-01,1.029569e-01,9.997206e-02,9.191970e-02,8.392508e-02,6.813907e-02,6.425346e-02,5.700281e-02,5.638698e-02,5.190229e-02,4.210345e-02,3.974066e-02,3.953426e-02,3.813833e-02,3.661733e-02,3.405301e-02,3.083753e-02,3.017976e-02,2.889241e-02,2.775451e-02,2.557755e-02,2.477575e-02,2.408569e-02,5.638698e-02,9.662230e-08,-2.800748e-06,1.516156e-05,5.107985e-05,5.712905e-04,1.563469e-03,2.164793e-02
6.590159e-02,6.534019e-02,6.456324e-02,5.535613e-02,5.148179e-02,5.109323e-02,4.911412e-02,4.558615e-02,4.327576e-02,3.970018e-02,3.869080e-02,3.570646e-02,3.451928e-02,3.212518e-02,3.135436e-02,3.123951e-02,3.055062e-02,2.914138e-02,2.869554e-02,2.794089e-02,2.778897e-02,2.712433e-02,2.658440e-02,2.554161e-02,3.970018e-02,8.304862e-08,-2.418555e-06,1.229671e-05,4.662344e-05,6.778258e-04,1.559718e-03,2.164838e-02
8.120258e-02,7.005153e-02,6.918211e-02,5.963772e-02,5.317608e-02,4.785466e-02,4.568999e-02,4.488340e-02,4.394684e-02,4.331748e-02,4.057878e-02,3.977203e-02,3.903403e-02,3.622167e-02,3.592428e-02,3.410007e-02,3.340247e-02,3.077124e-02,3.070465e-02,3.060193e-02,3.003918e-02,2.908366e-02,2.798883e-02,2.657758e-02,4.331748e-02,9.682155e-08,-2.753263e-06,1.355240e-05,6.663547e-05,5.376449e-04,1.547222e-03,2.190729e-02
6.205968e-02,3.282423e-02,3.189928e-02,3.106647e-02,2.846882e-02,2.714953e-02,2.251130e-02,1.280953e-02,8.688717e-03,6.412268e-03,6.010436e-03,5.844765e-03,4.286721e-03,3.924167e-03,3.576473e-03,3.298029e-03,3.145994e-03,2.813678e-03,2.738122e-03,2.574457e-03,2.360291e-03,2.088361e-03,1.994691e-03,1.925101e-03,6.412268e-03,1.020668e-07,-2.868222e-06,1.365877e-05,7.778206e-05,4.742722e-04,1.523521e-03,2.203045e-02
1.757319e-01,7.195233e-02,6.497872e-02,5.737362e-02,5.560642e-02,5.336347e-02,5.330205e-02,5.036098e-02,4.920254e-02,4.828625e-02,4.480281e-02,4.145503e-02,4.064225e-02,3.837067e-02,3.468862e-02,3.317964e-02,3.302539e-02,3.228192e-02,3.193398e-02,2.924347e-02,2.764399e-02,2.658364e-02,2.627019e-02,2.523630e-02,4.828625e-02,9.621589e-08,-2.727715e-06,1.326026e-05,6.839892e-05,5.182007e-04,1.482456e-03,2.169244e-02
1.429388e-01,1.228835e-01,1.169425e-01,9.723509e-02,9.449382e-02,8.870668e-02,8.019304e-02,7.744744e-02,7.361240e-02,6.821418e-02,6.476049e-02,6.268417e-02,6.085851e-02,5.804273e-02,5.731035e-02,5.409010e-02,5.314197e-02,5.113758e-02,5.008109e-02,4.945030e-02,4.867415e-02,4.777478e-02,4.592430e-02,4.362438e-02,6.821418e-02,9.561935e-08,-2.712640e-06,1.312980e-05,6.803451e-05,5.344515e-04,1.517487e-03,2.183165e-02
1.811357e-01,1.294638e-01,6.316945e-02,6.114380e-02,5.289418e-02,4.548984e-02,4.259249e-02,3.666606e-02,3.495451e-02,2.967706e-02,2.934559e-02,2.728400e-02,2.566047e-02,2.425248e-02,2.341098e-02,2.056018e-02,1.831336e-02,1.623791e-02,1.567876e-02,1.487299e-02,1.342743e-02,1.306441e-02,1.237685e-02,1.127596e-02,2.967706e-02,1.030826e-07,-3.006062e-06,1.722955e-05,4.688221e-05,5.324927e-04,1.600638e-03,2.153311e-02
6.785035e-02,3.594627e-02,2.629109e-02,2.575894e-02,2.451167e-02,1.675836e-02,1.517730e-02,1.284230e-02,1.165794e-02,6.661714e-03,6.177265e-03,5.411169e-03,4.598028e-03,3.885078e-03,3.646386e-03,3.436852e-03,3.172515e-03,2.894277e-03,2.824717e-03,2.082639e-03,2.009338e-03,1.690926e-03,1.522483e-03,1.520648e-03,6.661714e-03,1.007670e-07,-2.924720e-06,1.632721e-05,5.022171e-05,5.258892e-04,1.536897e-03,2.141171e-02
2.157538e-01,1.788728e-01,1.175018e-01,1.001586e-01,7.346188e-02,6.872581e-02,6.328129e-02,5.524796e-02,5.388367e-02,5.114451e-02,4.997747e-02,4.858471e-02,4.638814e-02,4.149382e-02,3.468596e-02,3.254989e-02,2.968484e-02,2.802104e-02,2.640271e-02,2.551326e-02,2.354003e-02,2.339574e-02,2.220065e-02,2.204359e-02,5.114451e-02,1.042770e-07,-3.039963e-06,1.747361e-05,4.673167e-05,5.364615e-04,1.598196e-03,2.164930e-02
