sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample12-195rpm-60kx-2,8.860365e-08,-2.581485e-06,1.374808e-05,4.614361e-05,6.236986e-04,1.517513e-03,2.141982e-02,3.000718e-04,9.950783e-01,39,9.943211e-01,2.773833e-03
sample12-195rpm-60kx-31,9.903650e-08,-2.888908e-06,1.634798e-05,4.583338e-05,5.523493e-04,1.548938e-03,2.140808e-02,3.141438e-04,9.947892e-01,39,9.939876e-01,2.838128e-03
sample12-195rpm-60kx-36,9.684271e-08,-2.877060e-06,1.736313e-05,3.120866e-05,6.089211e-04,1.620098e-03,2.131520e-02,3.765712e-04,9.939570e-01,39,9.930273e-01,3.107358e-03
sample12-195rpm-60kx-38,9.380901e-08,-2.728149e-06,1.484835e-05,4.820567e-05,5.760595e-04,1.529119e-03,2.137150e-02,3.054989e-04,9.949157e-01,39,9.941335e-01,2.798804e-03
sample12-195rpm-60kx-39,7.733796e-08,-2.538243e-06,1.968029e-05,-3.548665e-05,8.987368e-04,1.769671e-03,2.049550e-02,7.905152e-04,9.886874e-01,39,9.869470e-01,4.502180e-03
sample12-195rpm-60kx-42,9.112949e-08,-2.697730e-06,1.559516e-05,3.467351e-05,6.404218e-04,1.600436e-03,2.137328e-02,3.538083e-04,9.943367e-01,39,9.934655e-01,3.011977e-03
sample12-195rpm-60kx-45,8.832002e-08,-2.596878e-06,1.439000e-05,3.963104e-05,6.397222e-04,1.548377e-03,2.133265e-02,3.331816e-04,9.945623e-01,39,9.937258e-01,2.922861e-03
sample12-195rpm-60kx-47,1.063140e-07,-3.563718e-06,3.195222e-05,-8.642507e-05,8.876901e-04,2.078174e-03,2.054092e-02,1.087950e-03,9.885014e-01,39,9.867323e-01,5.281681e-03
sample12-195rpm-60kx-49,9.287739e-08,-2.776591e-06,1.690772e-05,2.617638e-05,6.459512e-04,1.596615e-03,2.121011e-02,3.911187e-04,9.937044e-01,39,9.927358e-01,3.166810e-03
sample12-195rpm-60kx-50,8.381271e-08,-2.470693e-06,1.342783e-05,3.812098e-05,6.819466e-04,1.569011e-03,2.141248e-02,3.311790e-04,9.947204e-01,39,9.939081e-01,2.914064e-03
sample12-195rpm-60kx-52,1.089095e-07,-3.227788e-06,2.016285e-05,3.180613e-05,5.492017e-04,1.675114e-03,2.156451e-02,3.465522e-04,9.946196e-01,39,9.937918e-01,2.980932e-03
sample12-195rpm-60kx-6,8.956815e-08,-2.610208e-06,1.399241e-05,4.627820e-05,6.142169e-04,1.530247e-03,2.140056e-02,3.049188e-04,9.949922e-01,39,9.942218e-01,2.796145e-03
sample12-195rpm-60kx-7,9.425977e-08,-2.695166e-06,1.350459e-05,6.152590e-05,5.533543e-04,1.519542e-03,2.167611e-02,2.405136e-04,9.960791e-01,39,9.954759e-01,2.483348e-03
sample12-195rpm-60kx-8,6.794445e-08,-2.009381e-06,9.435274e-06,3.775939e-05,8.415508e-04,1.671770e-03,2.203081e-02,3.000977e-04,9.957812e-01,39,9.951322e-01,2.773953e-03
sample12-195rpm-60kx-9,3.932421e-08,-1.304741e-06,6.296164e-06,-3.252667e-07,1.181839e-03,1.835210e-03,2.223023e-02,4.595600e-04,9.943678e-01,39,9.935014e-01,3.432723e-03
sample12-20rpm-60kx-16,1.186998e-07,-3.315090e-06,1.656646e-05,8.885780e-05,3.248110e-04,1.479434e-03,2.200036e-02,1.563661e-04,9.973507e-01,39,9.969431e-01,2.002346e-03
sample12-20rpm-60kx-18,9.739375e-08,-2.802305e-06,1.477212e-05,5.717494e-05,5.322406e-04,1.519376e-03,2.150610e-02,2.693960e-04,9.955054e-01,39,9.948140e-01,2.628229e-03
sample12-20rpm-60kx-1,8.577400e-08,-2.577701e-06,1.545297e-05,2.356113e-05,6.989347e-04,1.585089e-03,2.117041e-02,4.052137e-04,9.935018e-01,39,9.925021e-01,3.223367e-03
sample12-20rpm-60kx-20,1.147019e-07,-3.192689e-06,1.540306e-05,9.071379e-05,3.485223e-04,1.482978e-03,2.205957e-02,1.542323e-04,9.974252e-01,39,9.970291e-01,1.988636e-03
sample12-20rpm-60kx-21,9.713315e-08,-2.754810e-06,1.342412e-05,6.827600e-05,5.332607e-04,1.511678e-03,2.192118e-02,2.011171e-04,9.967793e-01,39,9.962838e-01,2.270869e-03
sample12-20rpm-60kx-26,1.052149e-07,-3.018746e-06,1.628251e-05,6.101071e-05,4.718072e-04,1.535873e-03,2.157860e-02,2.621318e-04,9.956011e-01,39,9.949244e-01,2.592553e-03
sample12-20rpm-60kx-27,8.140636e-08,-2.531317e-06,1.678274e-05,9.884565e-07,7.943434e-04,1.701694e-03,2.106116e-02,5.259020e-04,9.920631e-01,39,9.908421e-01,3.672147e-03
sample12-20rpm-60kx-29,1.071896e-07,-3.063953e-06,1.639503e-05,6.458633e-05,4.465340e-04,1.521611e-03,2.158073e-02,2.520760e-04,9.957257e-01,39,9.950681e-01,2.542339e-03
sample12-20rpm-60kx-34,1.050422e-07,-2.983619e-06,1.528195e-05,6.959073e-05,4.655853e-04,1.531251e-03,2.182645e-02,2.142848e-04,9.964807e-01,39,9.959393e-01,2.344031e-03
sample12-20rpm-60kx-42,1.126085e-07,-3.172487e-06,1.611779e-05,7.891905e-05,3.983539e-04,1.524296e-03,2.200534e-02,1.824293e-04,9.969968e-01,39,9.965348e-01,2.162793e-03
sample12-20rpm-60kx-44,1.107636e-07,-3.131922e-06,1.603828e-05,7.552590e-05,4.222700e-04,1.563279e-03,2.202248e-02,1.964084e-04,9.968206e-01,39,9.963315e-01,2.244128e-03
sample12-20rpm-60kx-6,9.021668e-08,-2.692155e-06,1.605198e-05,2.852403e-05,6.522492e-04,1.597524e-03,2.119502e-02,3.951511e-04,9.936084e-01,39,9.926251e-01,3.183093e-03
sample12-20rpm-60kx-7,9.161406e-08,-2.709897e-06,1.567856e-05,3.511493e-05,6.304730e-04,1.585442e-03,2.131141e-02,3.580547e-04,9.941986e-01,39,9.933061e-01,3.029998e-03
sample7-195rpm-60kx-10,7.357720e-08,-2.404567e-06,1.797346e-05,-2.889956e-05,9.317013e-04,1.772630e-03,2.082860e-02,6.903963e-04,9.902493e-01,39,9.887492e-01,4.207430e-03
sample7-195rpm-60kx-11,5.398831e-08,-1.742335e-06,1.046796e-05,-3.680636e-06,1.011916e-03,1.676010e-03,2.122090e-02,5.119270e-04,9.926331e-01,39,9.914997e-01,3.623028e-03
