sample_name,a1,a2,a3,a4,a5,a6,a7,a8,SSE,R_square,DFE,adj_R_square,RMSE
sample12-100rpm-60kx-28,1.030390e-08,-1.641265e-07,-1.748534e-06,2.991317e-05,-2.904392e-05,3.496074e-04,2.580307e-03,2.266358e-02,1.922422e-04,9.969976e-01,38,9.964445e-01,2.249223e-03
sample12-100rpm-60kx-29,7.671203e-09,-8.677583e-08,-2.256544e-06,2.658097e-05,1.254790e-05,2.609926e-04,2.220718e-03,2.239226e-02,1.690454e-04,9.971635e-01,38,9.966410e-01,2.109162e-03
sample12-100rpm-60kx-2,1.200608e-08,-2.138175e-07,-1.430456e-06,3.227861e-05,-5.698201e-05,3.902260e-04,2.749391e-03,2.259887e-02,2.190656e-04,9.965987e-01,38,9.959722e-01,2.401017e-03
sample12-100rpm-60kx-30,5.102036e-09,-8.245947e-09,-2.863379e-06,2.455838e-05,4.785137e-05,2.036036e-04,2.004381e-03,2.251089e-02,1.484296e-04,9.975271e-01,38,9.970715e-01,1.976371e-03
sample12-100rpm-60kx-31,1.272492e-08,-2.127907e-07,-2.048614e-06,4.185047e-05,-9.930483e-05,3.529381e-04,3.006344e-03,2.244146e-02,3.795447e-04,9.945345e-01,38,9.935277e-01,3.160383e-03
sample12-100rpm-60kx-3,9.823780e-09,-1.508185e-07,-1.814031e-06,2.901762e-05,-2.060413e-05,3.340789e-04,2.494965e-03,2.258558e-02,1.838876e-04,9.970704e-01,38,9.965308e-01,2.199806e-03
sample12-100rpm-60kx-4,7.935371e-09,-9.187884e-08,-2.295520e-06,2.790849e-05,5.285676e-06,2.604072e-04,2.293432e-03,2.240657e-02,1.875639e-04,9.968864e-01,38,9.963128e-01,2.221687e-03
sample12-100rpm-60kx-7,1.156229e-08,-1.870910e-07,-1.977123e-06,3.691215e-05,-6.683194e-05,3.123644e-04,2.762636e-03,2.223695e-02,3.245399e-04,9.948478e-01,38,9.938987e-01,2.922417e-03
sample12-100rpm-60kx-8,1.203436e-08,-2.104682e-07,-1.563418e-06,3.389994e-05,-6.222563e-05,3.559430e-04,2.729715e-03,2.232415e-02,2.607774e-04,9.957973e-01,38,9.950231e-01,2.619649e-03
sample12-100rpm-60kx-9,7.312030e-09,-6.617427e-08,-2.670532e-06,3.004846e-05,4.212790e-06,2.278922e-04,2.277859e-03,2.234259e-02,2.174932e-04,9.963887e-01,38,9.957235e-01,2.392385e-03
sample12-195rpm-60kx-15,1.136464e-08,-1.968626e-07,-1.491722e-06,3.077308e-05,-4.485181e-05,3.816158e-04,2.656484e-03,2.260930e-02,1.973611e-04,9.969120e-01,38,9.963431e-01,2.278972e-03
sample12-195rpm-60kx-17,1.272772e-08,-2.326662e-07,-1.371025e-06,3.412402e-05,-7.169440e-05,4.026463e-04,2.841074e-03,2.257806e-02,2.443491e-04,9.962381e-01,38,9.955451e-01,2.535792e-03
sample12-195rpm-60kx-19,1.814849e-08,-3.731287e-07,-9.633132e-07,4.843320e-05,-1.835873e-04,4.873245e-04,3.581799e-03,2.236907e-02,5.084022e-04,9.931535e-01,38,9.918924e-01,3.657732e-03
sample12-195rpm-60kx-20,1.553190e-08,-3.020157e-07,-1.264334e-06,4.259040e-05,-1.310529e-04,4.077327e-04,3.228873e-03,2.225915e-02,4.246549e-04,9.936866e-01,38,9.925236e-01,3.342922e-03
sample12-195rpm-60kx-21,8.632335e-09,-1.101578e-07,-2.233730e-06,2.965186e-05,-8.519016e-06,2.621565e-04,2.353996e-03,2.227390e-02,2.144636e-04,9.963888e-01,38,9.957236e-01,2.375664e-03
