input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,input23,input24,input25,output1,output2,output3,output4,output5,output6
3.951711e-01,1.708384e-01,1.338928e-01,1.107793e-01,9.136413e-02,8.210172e-02,6.510881e-02,6.248275e-02,5.564756e-02,4.860849e-02,4.373044e-02,4.238296e-02,4.144046e-02,3.671188e-02,3.307782e-02,3.137302e-02,3.058744e-02,2.941703e-02,2.848084e-02,2.672807e-02,2.564904e-02,2.439832e-02,2.363455e-02,2.286138e-02,4.860849e-02,4.082494e+00,1.475325e-02,2.660542e-01,-1.413680e-02,-8.989496e-04,-3.279748e-04
2.185450e-01,1.510996e-01,1.192189e-01,9.414353e-02,9.125355e-02,8.240279e-02,6.090099e-02,5.678718e-02,4.844312e-02,4.119376e-02,3.583580e-02,3.184926e-02,3.151190e-02,2.985525e-02,2.820952e-02,2.766256e-02,2.480901e-02,2.353433e-02,2.299958e-02,2.180994e-02,1.941723e-02,1.853917e-02,1.665842e-02,1.585869e-02,4.119376e-02,4.114824e+00,1.281211e-02,2.787196e-01,-1.345533e-02,-5.979151e-04,-3.627565e-04
8.036681e-02,6.911705e-02,3.847775e-02,3.592929e-02,2.983854e-02,2.975729e-02,2.759871e-02,2.678138e-02,2.632311e-02,2.428798e-02,2.276159e-02,1.818130e-02,1.735309e-02,1.473227e-02,1.402540e-02,1.275830e-02,1.091000e-02,8.403677e-03,6.812902e-03,5.872900e-03,5.178832e-03,5.044120e-03,4.670466e-03,4.639510e-03,2.428798e-02,4.087565e+00,1.778832e-02,2.560275e-01,-1.505083e-02,-1.086224e-03,-3.211362e-04
6.893566e-02,6.619672e-02,4.330249e-02,3.206437e-02,3.120075e-02,2.816131e-02,2.699556e-02,2.600566e-02,2.550502e-02,2.278477e-02,2.049685e-02,1.718697e-02,1.550728e-02,1.392179e-02,1.308303e-02,1.135207e-02,1.026811e-02,8.095828e-03,6.920461e-03,6.267084e-03,6.248356e-03,5.634117e-03,5.330593e-03,5.320866e-03,2.278477e-02,4.078632e+00,1.365357e-02,2.675346e-01,-1.427999e-02,-1.046532e-03,-3.043919e-04
9.191428e-02,6.190100e-02,3.990033e-02,2.602993e-02,2.590817e-02,2.467410e-02,2.065502e-02,1.693078e-02,1.508791e-02,1.166806e-02,1.087705e-02,9.008504e-03,8.938476e-03,8.182442e-03,7.337394e-03,6.968923e-03,5.983704e-03,5.310659e-03,4.989848e-03,4.142414e-03,3.739108e-03,3.667012e-03,3.459958e-03,3.156045e-03,1.166806e-02,4.052959e+00,1.423870e-02,2.648850e-01,-1.418103e-02,-1.024393e-03,-3.043418e-04
1.280564e-01,9.387956e-02,8.655637e-02,7.953902e-02,5.430365e-02,5.102418e-02,4.250483e-02,3.322703e-02,3.299315e-02,3.049592e-02,3.042171e-02,2.881045e-02,2.408879e-02,2.263570e-02,2.156163e-02,1.974751e-02,1.936180e-02,1.819201e-02,1.578309e-02,1.561013e-02,1.505984e-02,1.350996e-02,1.306358e-02,1.152050e-02,3.049592e-02,4.065041e+00,1.906617e-02,2.528577e-01,-1.509648e-02,-1.073993e-03,-3.244358e-04
2.426192e-01,1.953820e-01,1.076345e-01,7.828444e-02,7.706047e-02,5.100155e-02,5.045423e-02,4.755542e-02,3.829123e-02,3.776136e-02,3.027629e-02,2.942094e-02,2.629947e-02,2.417337e-02,2.173456e-02,2.131930e-02,2.075002e-02,1.807877e-02,1.778149e-02,1.525908e-02,1.423723e-02,1.344732e-02,1.323071e-02,1.220367e-02,3.776136e-02,4.056170e+00,1.401680e-02,2.656946e-01,-1.422725e-02,-1.049444e-03,-3.020520e-04
1.759806e-01,9.303719e-02,6.708110e-02,6.037720e-02,5.264845e-02,5.189930e-02,4.264220e-02,4.142517e-02,3.749056e-02,3.454651e-02,3.357370e-02,2.822330e-02,2.522994e-02,2.361887e-02,2.291650e-02,2.205410e-02,2.132858e-02,1.905717e-02,1.623388e-02,1.515489e-02,1.397325e-02,1.298669e-02,1.278263e-02,1.239217e-02,3.454651e-02,4.104429e+00,2.308965e-02,2.511889e-01,-1.559993e-02,-8.398832e-04,-3.825951e-04
1.120443e-01,1.010112e-01,7.749247e-02,7.291763e-02,6.259610e-02,5.843594e-02,5.565263e-02,5.386282e-02,4.430877e-02,4.193080e-02,3.679047e-02,3.539717e-02,3.232273e-02,3.113265e-02,3.080006e-02,2.906441e-02,2.795220e-02,2.513738e-02,2.387162e-02,2.358627e-02,2.117321e-02,2.017768e-02,1.769727e-02,1.718264e-02,4.193080e-02,4.083210e+00,1.645008e-02,2.594122e-01,-1.472129e-02,-1.053217e-03,-3.179344e-04
9.189499e-02,4.936851e-02,4.555046e-02,3.771090e-02,3.643418e-02,3.169457e-02,3.058944e-02,2.905830e-02,2.621357e-02,2.601018e-02,2.550269e-02,2.540769e-02,2.526095e-02,2.462879e-02,2.127418e-02,1.763574e-02,1.564652e-02,1.385536e-02,1.271593e-02,1.196213e-02,1.178793e-02,8.453701e-03,6.899711e-03,6.376896e-03,2.601018e-02,4.077424e+00,1.437654e-02,2.651350e-01,-1.434150e-02,-1.028414e-03,-3.091863e-04
1.612005e-01,1.012306e-01,7.398554e-02,5.222817e-02,4.616774e-02,4.474362e-02,4.206971e-02,3.908862e-02,3.792051e-02,3.716350e-02,3.712811e-02,3.615922e-02,3.343871e-02,3.089281e-02,3.041804e-02,2.601610e-02,2.304400e-02,2.252554e-02,2.038588e-02,1.888140e-02,1.830770e-02,1.688721e-02,1.556443e-02,1.474347e-02,3.716350e-02,4.121122e+00,2.944226e-02,2.476633e-01,-1.637197e-02,-6.550242e-04,-4.483668e-04
6.170588e-02,5.753252e-02,4.874953e-02,4.121863e-02,3.997418e-02,3.777873e-02,3.655164e-02,3.036742e-02,2.643073e-02,2.148760e-02,1.796113e-02,1.518959e-02,1.408995e-02,1.376154e-02,1.209947e-02,1.058466e-02,9.685759e-03,8.932370e-03,7.995641e-03,7.418861e-03,6.770551e-03,6.542446e-03,6.022420e-03,5.261978e-03,2.148760e-02,4.075043e+00,1.179729e-02,2.756543e-01,-1.357273e-02,-8.603225e-04,-3.140767e-04
8.622246e-02,5.836434e-02,4.100736e-02,3.588815e-02,3.300836e-02,3.115237e-02,3.064806e-02,2.967859e-02,2.708357e-02,2.592869e-02,2.586128e-02,2.572664e-02,2.456588e-02,2.276917e-02,2.267579e-02,2.260867e-02,1.794485e-02,1.709042e-02,1.416859e-02,1.352419e-02,1.278373e-02,1.081867e-02,1.037353e-02,9.527536e-03,2.592869e-02,4.097899e+00,1.624421e-02,2.601188e-01,-1.486556e-02,-1.093242e-03,-3.159011e-04
1.552115e-01,1.230343e-01,9.080843e-02,7.847462e-02,7.473302e-02,6.410056e-02,6.272903e-02,5.721708e-02,5.078274e-02,4.261922e-02,3.998215e-02,3.949761e-02,3.660177e-02,3.633160e-02,3.276785e-02,3.168745e-02,3.020444e-02,2.727792e-02,2.459798e-02,2.386460e-02,2.179019e-02,2.163322e-02,1.913022e-02,1.807814e-02,4.261922e-02,4.080278e+00,1.168343e-02,2.760247e-01,-1.350547e-02,-8.671743e-04,-3.139627e-04
6.046831e-02,4.716235e-02,3.657772e-02,3.644528e-02,3.286170e-02,2.824574e-02,2.517604e-02,2.177485e-02,1.572542e-02,1.362621e-02,1.129794e-02,1.063646e-02,1.047736e-02,9.379684e-03,7.981822e-03,7.314672e-03,5.216600e-03,5.147262e-03,4.977664e-03,4.584573e-03,4.238111e-03,4.225300e-03,4.069302e-03,3.671025e-03,1.362621e-02,4.071826e+00,1.425184e-02,2.653955e-01,-1.437279e-02,-1.061892e-03,-3.050175e-04
6.623978e-02,3.588338e-02,3.386713e-02,2.990773e-02,2.976403e-02,2.799025e-02,2.644169e-02,2.516752e-02,2.445724e-02,2.205507e-02,1.462635e-02,1.075476e-02,8.489100e-03,8.414505e-03,7.775701e-03,6.773940e-03,6.167689e-03,5.731636e-03,5.349882e-03,4.768516e-03,3.966630e-03,3.430150e-03,3.389648e-03,3.315782e-03,2.205507e-02,4.081438e+00,6.007797e-03,3.064412e-01,-1.271340e-02,-8.967330e-04,-2.749484e-04
7.252836e-02,5.120357e-02,4.964402e-02,4.921755e-02,4.861953e-02,4.762380e-02,4.269439e-02,4.089962e-02,3.991244e-02,3.913880e-02,3.579351e-02,3.474757e-02,3.387272e-02,3.383371e-02,3.160125e-02,3.061639e-02,2.976603e-02,2.899535e-02,2.828469e-02,2.638458e-02,2.601862e-02,2.455790e-02,2.332195e-02,2.254261e-02,3.913880e-02,4.219876e+00,1.267593e-02,2.748784e-01,-1.482139e-02,-1.109966e-03,-3.228454e-04
9.565553e-02,8.152665e-02,7.678107e-02,7.625936e-02,7.336661e-02,6.837872e-02,6.677820e-02,6.648209e-02,6.296461e-02,6.227375e-02,6.024835e-02,5.720530e-02,5.586730e-02,5.343701e-02,5.267855e-02,5.144919e-02,5.066180e-02,4.809809e-02,4.733473e-02,4.668950e-02,4.600832e-02,4.541007e-02,4.373523e-02,4.331405e-02,6.227375e-02,4.374312e+00,1.803383e-02,2.619364e-01,-1.644638e-02,-1.167564e-03,-3.690252e-04
1.626115e-01,1.443638e-01,1.133675e-01,8.723107e-02,6.489567e-02,4.118787e-02,3.794634e-02,3.514533e-02,3.082663e-02,2.498487e-02,2.194665e-02,2.067994e-02,2.036573e-02,1.807573e-02,1.744919e-02,1.577642e-02,1.483320e-02,1.217627e-02,1.117036e-02,1.027133e-02,9.843442e-03,9.569767e-03,9.225905e-03,9.146566e-03,2.498487e-02,4.036019e+00,1.582809e-03,3.727134e-01,-1.153024e-02,-7.862444e-04,-2.306613e-04
2.245685e-01,1.387005e-01,6.294494e-02,5.890553e-02,5.480394e-02,4.697112e-02,3.912437e-02,3.561214e-02,2.970160e-02,2.416562e-02,2.393394e-02,2.347225e-02,2.011609e-02,2.004327e-02,1.903918e-02,1.710799e-02,1.694513e-02,1.610596e-02,1.519296e-02,1.332152e-02,1.163927e-02,9.739080e-03,9.390510e-03,9.153841e-03,2.416562e-02,4.054112e+00,1.158186e-02,2.749138e-01,-1.377328e-02,-1.029258e-03,-2.930014e-04
1.971074e-01,1.480092e-01,1.242206e-01,1.214300e-01,1.016032e-01,8.211531e-02,7.692704e-02,6.810296e-02,5.061866e-02,4.930532e-02,4.860942e-02,4.054309e-02,4.022175e-02,3.919564e-02,3.471160e-02,3.081219e-02,2.959666e-02,2.612142e-02,2.600602e-02,2.488080e-02,2.450323e-02,2.405235e-02,2.101746e-02,2.050234e-02,4.930532e-02,4.081155e+00,2.229823e-02,2.464681e-01,-1.583746e-02,-1.128003e-03,-3.339393e-04
2.122472e-01,8.935982e-02,6.644056e-02,5.466177e-02,4.247588e-02,3.525333e-02,3.142128e-02,2.557802e-02,2.278743e-02,1.966928e-02,1.599255e-02,1.530248e-02,1.410345e-02,1.292801e-02,1.131696e-02,1.088201e-02,1.029179e-02,9.800252e-03,9.158986e-03,8.359069e-03,8.107582e-03,7.527988e-03,6.887111e-03,6.464055e-03,1.966928e-02,4.048898e+00,1.228797e-03,3.866269e-01,-1.154821e-02,-7.894432e-04,-2.265108e-04
1.102864e-01,7.798110e-02,6.851974e-02,5.044171e-02,4.241690e-02,4.193075e-02,4.013251e-02,3.371340e-02,3.366347e-02,3.359534e-02,3.095468e-02,2.977592e-02,2.857044e-02,2.805369e-02,2.697740e-02,2.642583e-02,2.627249e-02,2.405896e-02,2.315974e-02,2.246242e-02,2.184017e-02,1.751196e-02,1.656368e-02,1.525656e-02,3.359534e-02,4.104138e+00,3.592559e-03,3.324103e-01,-1.228189e-02,-8.386702e-04,-2.616645e-04
1.851949e-01,6.257084e-02,5.334281e-02,5.232656e-02,4.518781e-02,3.864952e-02,3.055826e-02,3.027309e-02,2.388284e-02,2.219872e-02,1.725931e-02,1.569589e-02,1.463054e-02,1.353828e-02,1.240650e-02,1.179467e-02,1.059053e-02,8.227748e-03,7.965726e-03,7.693390e-03,7.204936e-03,7.129923e-03,6.913645e-03,6.064437e-03,2.219872e-02,4.039958e+00,1.239697e-02,2.713486e-01,-1.385734e-02,-1.052185e-03,-2.926104e-04
