w1,w2,w3,w4,w5,w6,fval
1.051828e+00,1.009977e+00,9.898261e-01,1.028978e+00,9.738910e-01,9.974356e-01,4.760924e-11
9.334964e-01,1.016107e+00,1.021944e+00,9.809787e-01,1.053701e+00,1.009271e+00,5.140443e-10
1.052777e+00,9.974852e-01,9.885032e-01,1.035528e+00,9.683285e-01,1.010066e+00,2.501989e-13
9.343158e-01,9.965850e-01,1.038163e+00,9.938956e-01,1.044282e+00,1.017236e+00,9.997067e-11
1.053828e+00,9.978992e-01,9.703971e-01,1.027882e+00,9.919455e-01,1.010626e+00,1.230161e-11
9.351931e-01,9.983228e-01,1.039548e+00,9.932914e-01,1.041313e+00,1.018189e+00,1.531185e-10
1.054808e+00,1.020739e+00,1.002358e+00,9.920964e-01,9.880267e-01,9.785201e-01,8.218453e-12
9.361901e-01,9.895252e-01,9.953845e-01,1.047762e+00,1.036064e+00,1.025642e+00,5.749232e-11
1.055890e+00,1.024030e+00,1.007200e+00,9.766241e-01,9.861606e-01,9.918854e-01,2.680112e-11
9.372711e-01,9.935922e-01,9.938532e-01,1.049914e+00,1.033799e+00,1.023646e+00,8.625985e-11
1.057173e+00,1.024926e+00,1.016994e+00,9.744369e-01,9.849284e-01,9.890797e-01,8.769182e-11
9.385966e-01,9.874032e-01,9.905951e-01,1.050641e+00,1.038203e+00,1.025698e+00,1.730690e-10
1.058679e+00,1.034029e+00,1.013381e+00,9.698237e-01,9.889357e-01,9.805134e-01,1.257064e-10
9.397900e-01,1.014584e+00,9.923313e-01,1.035555e+00,1.031333e+00,1.028243e+00,1.378327e-10
1.060640e+00,1.006960e+00,1.022161e+00,9.650988e-01,9.907454e-01,9.899423e-01,2.189292e-10
9.419357e-01,1.002345e+00,9.923838e-01,1.045836e+00,1.024113e+00,1.033441e+00,7.087403e-11
1.063079e+00,1.014804e+00,1.023467e+00,9.741587e-01,9.935991e-01,9.779421e-01,1.410378e-10
9.441180e-01,1.004068e+00,9.955899e-01,1.042091e+00,1.021628e+00,1.033999e+00,6.537686e-11
1.065849e+00,1.018725e+00,1.019901e+00,9.708888e-01,9.956295e-01,9.755983e-01,3.378180e-11
9.471603e-01,1.003441e+00,9.863536e-01,1.056260e+00,1.026157e+00,1.016393e+00,7.197881e-13
1.068769e+00,1.000182e+00,1.036342e+00,9.589893e-01,9.939046e-01,9.793601e-01,9.491823e-11
9.498219e-01,1.004943e+00,9.934405e-01,1.021919e+00,1.018859e+00,1.040473e+00,2.958184e-11
1.072563e+00,9.954929e-01,1.037175e+00,9.811443e-01,1.001940e+00,9.516819e-01,1.526177e-10
9.530158e-01,1.004535e+00,1.001146e+00,1.027330e+00,1.018338e+00,1.032580e+00,2.250581e-11
1.076452e+00,9.958741e-01,1.037923e+00,9.762393e-01,1.002758e+00,9.483832e-01,1.950316e-11
9.581717e-01,9.995822e-01,9.964294e-01,1.042934e+00,1.000948e+00,1.037926e+00,9.433763e-12
1.080710e+00,9.848630e-01,1.050998e+00,9.725127e-01,9.949366e-01,9.533661e-01,3.086880e-12
9.628602e-01,1.003694e+00,9.909420e-01,1.035616e+00,1.018488e+00,1.032419e+00,9.231164e-11
1.086363e+00,1.029571e+00,1.037492e+00,9.743208e-01,9.882323e-01,9.565444e-01,4.278598e-11
9.696341e-01,9.997503e-01,9.876779e-01,1.034369e+00,1.030073e+00,1.037894e+00,7.587353e-13
1.090311e+00,1.030819e+00,1.051868e+00,9.772749e-01,9.829974e-01,9.603330e-01,1.531481e-10
9.741888e-01,9.962008e-01,9.845884e-01,1.029326e+00,1.026343e+00,1.028403e+00,1.198917e-10
1.100558e+00,1.036021e+00,1.029288e+00,9.602830e-01,9.909814e-01,9.546724e-01,1.345485e-10
9.835905e-01,1.005284e+00,9.719761e-01,1.027673e+00,1.018367e+00,1.030490e+00,3.401668e-11
1.095825e+00,9.923314e-01,1.065599e+00,9.658009e-01,9.572175e-01,9.473490e-01,2.849732e-11
9.760941e-01,9.915563e-01,9.992859e-01,1.024445e+00,1.020868e+00,1.028213e+00,3.959092e-10
1.096774e+00,9.891871e-01,1.069109e+00,9.662216e-01,9.507987e-01,9.487080e-01,8.750226e-11

1.006529e+00,1.006772e+00,1.011877e+00,1.004514e+00,1.009121e+00,1.001115e+00


8.837182e-01,1.019062e+00,1.045162e+00,1.013705e+00,1.054024e+00,1.001365e+00,1.057643e-09
1.094596e+00,1.002713e+00,9.760099e-01,1.049273e+00,9.554808e-01,9.870055e-01,9.736943e-11
8.860665e-01,1.018074e+00,1.044712e+00,9.943441e-01,1.061126e+00,1.011912e+00,8.076564e-10
1.096881e+00,1.001237e+00,9.827320e-01,1.045901e+00,9.563096e-01,9.888523e-01,3.291669e-11
8.877278e-01,1.018902e+00,1.039621e+00,9.945792e-01,1.064222e+00,1.009368e+00,1.733576e-10
1.098664e+00,1.000329e+00,9.847369e-01,1.046757e+00,9.552042e-01,9.873588e-01,6.403926e-12
8.889594e-01,1.027824e+00,1.027517e+00,9.933022e-01,1.056390e+00,1.019617e+00,1.803802e-10
1.100230e+00,1.002718e+00,9.774665e-01,1.048522e+00,9.596370e-01,9.788329e-01,3.506473e-10
8.899617e-01,1.020343e+00,1.034206e+00,1.002360e+00,1.055408e+00,1.013359e+00,1.641700e-10
1.101472e+00,9.980383e-01,9.632238e-01,1.052257e+00,9.735981e-01,9.867874e-01,2.556274e-10
8.909315e-01,1.018656e+00,1.041282e+00,1.004338e+00,1.049870e+00,1.014582e+00,1.123314e-10
1.102690e+00,9.868537e-01,9.685129e-01,1.048947e+00,9.673406e-01,1.003895e+00,2.221290e-10
8.918943e-01,1.013484e+00,1.031946e+00,9.993245e-01,1.058676e+00,1.022010e+00,1.290214e-10
1.103809e+00,9.885933e-01,9.676008e-01,1.047096e+00,9.684629e-01,9.988171e-01,1.091517e-10
8.927894e-01,1.016736e+00,1.056787e+00,9.969180e-01,1.022369e+00,1.025301e+00,3.803977e-11
1.104815e+00,1.048788e+00,1.002628e+00,9.725017e-01,9.646890e-01,9.706562e-01,1.213264e-10
8.937259e-01,9.980495e-01,1.013465e+00,1.060525e+00,1.028248e+00,1.033174e+00,1.143053e-11
1.105977e+00,1.049364e+00,9.905579e-01,9.677777e-01,9.654973e-01,9.718795e-01,3.339944e-11
8.947587e-01,9.953232e-01,1.014514e+00,1.062241e+00,1.023013e+00,1.036350e+00,4.050784e-12
1.107362e+00,1.048411e+00,9.878381e-01,9.685575e-01,9.671269e-01,9.715302e-01,1.433972e-11
8.959376e-01,9.959640e-01,1.014325e+00,1.058762e+00,1.025039e+00,1.036157e+00,3.629193e-11
1.108979e+00,1.049648e+00,9.890897e-01,9.674547e-01,9.650706e-01,9.734927e-01,7.679663e-14
8.973832e-01,1.015735e+00,9.967481e-01,1.058659e+00,1.033735e+00,1.025768e+00,8.270603e-11
1.110925e+00,9.879652e-01,1.052989e+00,9.711299e-01,9.707847e-01,9.579947e-01,2.532125e-11
8.989669e-01,1.016609e+00,1.000069e+00,1.052611e+00,1.031396e+00,1.028279e+00,2.246808e-11
1.113160e+00,9.896899e-01,1.053742e+00,9.697650e-01,9.725046e-01,9.553921e-01,2.985831e-11
9.005068e-01,1.017115e+00,1.013290e+00,1.038337e+00,1.027303e+00,1.029846e+00,2.870353e-13
1.115697e+00,9.870718e-01,1.055906e+00,9.828002e-01,9.733735e-01,9.294992e-01,3.500828e-12
9.034647e-01,1.009672e+00,1.002664e+00,1.048751e+00,1.028139e+00,1.036294e+00,6.592616e-11
1.118993e+00,9.842913e-01,1.059270e+00,9.770171e-01,9.784070e-01,9.399527e-01,3.515227e-11
9.060476e-01,1.009330e+00,1.006481e+00,1.041958e+00,1.025734e+00,1.041000e+00,3.559393e-10
1.123178e+00,9.768672e-01,1.058686e+00,9.457472e-01,9.795570e-01,9.726151e-01,2.640868e-11
9.102545e-01,1.007648e+00,9.984479e-01,1.040800e+00,1.023167e+00,1.051167e+00,1.508013e-10
1.128254e+00,9.703555e-01,1.056641e+00,9.487950e-01,9.867286e-01,9.688575e-01,1.999591e-11
9.151749e-01,1.004206e+00,9.939701e-01,1.055260e+00,1.018965e+00,1.050507e+00,3.111633e-10
1.132777e+00,9.638940e-01,1.063206e+00,9.489433e-01,9.818818e-01,9.643737e-01,1.859251e-10
9.197268e-01,1.006143e+00,9.918490e-01,1.049329e+00,1.011209e+00,1.053562e+00,6.860580e-12
1.135839e+00,1.045964e+00,1.031452e+00,9.568974e-01,1.005777e+00,9.263451e-01,9.570404e-11
9.230496e-01,1.007424e+00,9.954011e-01,1.040949e+00,1.021472e+00,1.045508e+00,4.460513e-10
1.139416e+00,1.055590e+00,1.033308e+00,9.581836e-01,9.929099e-01,9.205758e-01,1.553357e-09
9.266671e-01,1.005781e+00,9.979893e-01,1.041900e+00,1.025767e+00,1.039875e+00,3.200286e-10
1.145845e+00,1.050242e+00,1.034508e+00,9.692389e-01,9.847231e-01,9.224514e-01,1.329230e-10
9.317335e-01,1.003278e+00,9.968255e-01,1.046374e+00,1.026346e+00,1.038179e+00,5.968813e-10
1.123554e+00,1.003113e+00,1.091658e+00,9.554047e-01,9.093175e-01,9.215780e-01,2.327502e-11
9.239040e-01,1.002611e+00,1.009368e+00,1.031957e+00,1.030397e+00,1.039931e+00,4.612913e-10
1.134216e+00,9.965555e-01,1.080392e+00,9.860543e-01,9.119500e-01,9.237113e-01,7.817022e-10

1.008710e+00,1.009484e+00,1.018017e+00,1.011137e+00,1.001051e+00,9.962079e-01


