sample_name,a1,a2,a3,a4,a5,a6,SSE,R_square,DFE,adj_R_square,RMSE
sample8-195rpm-60kx-2,4.299690e+00,2.153806e-02,2.550802e-01,-1.650922e-02,-1.026935e-03,-3.886376e-04,2.208721e-03,9.992073e-01,40,9.991082e-01,7.430882e-03
sample8-195rpm-60kx-3,4.248561e+00,2.001660e-02,2.578153e-01,-1.584401e-02,-9.398499e-04,-3.824007e-04,2.773020e-03,9.989561e-01,40,9.988257e-01,8.326193e-03
sample8-195rpm-60kx-4,4.373577e+00,4.470556e-02,2.324965e-01,-2.087555e-02,-1.040696e-03,-5.056340e-04,5.788355e-03,9.980905e-01,40,9.978519e-01,1.202950e-02
sample8-195rpm-60kx-5,4.226806e+00,1.339885e-02,2.738952e-01,-1.466388e-02,-9.348750e-04,-3.450105e-04,1.576485e-03,9.993912e-01,40,9.993151e-01,6.277908e-03
sample8-195rpm-60kx-6,4.288450e+00,1.050586e-02,2.864976e-01,-1.428313e-02,-8.681541e-04,-3.461199e-04,1.585766e-03,9.994212e-01,40,9.993488e-01,6.296359e-03
sample8-195rpm-60kx-7,4.371638e+00,1.870506e-02,2.633830e-01,-1.620697e-02,-9.562700e-04,-3.991007e-04,2.377849e-03,9.992032e-01,40,9.991036e-01,7.710138e-03
sample8-195rpm-60kx-8,4.368964e+00,1.944022e-02,2.621977e-01,-1.633662e-02,-9.363640e-04,-4.050663e-04,2.517156e-03,9.991560e-01,40,9.990505e-01,7.932774e-03
sample8-195rpm-60kx-9,4.446097e+00,4.234439e-02,2.350454e-01,-2.080440e-02,-1.089060e-03,-5.062961e-04,5.348867e-03,9.983450e-01,40,9.981381e-01,1.156381e-02
sample8-20rpm-60kx-10,4.120367e+00,2.103150e-02,2.529315e-01,-1.537579e-02,-9.344494e-04,-3.628005e-04,3.373763e-03,9.985570e-01,40,9.983767e-01,9.183904e-03
sample8-20rpm-60kx-1,4.150832e+00,1.448081e-02,2.663337e-01,-1.474473e-02,-1.127946e-03,-3.153822e-04,1.220559e-03,9.994916e-01,40,9.994280e-01,5.523945e-03
sample8-20rpm-60kx-2a,4.114713e+00,1.256192e-02,2.718468e-01,-1.413407e-02,-1.053389e-03,-3.058759e-04,1.361679e-03,9.994110e-01,40,9.993373e-01,5.834549e-03
sample8-20rpm-60kx-2b,4.063395e+00,1.987854e-03,3.612755e-01,-1.167301e-02,-8.164111e-04,-2.387347e-04,1.112593e-03,9.994844e-01,40,9.994199e-01,5.273977e-03
sample8-20rpm-60kx-3,4.172978e+00,1.689034e-02,2.646846e-01,-1.480170e-02,-7.984551e-04,-3.678364e-04,3.063284e-03,9.987469e-01,40,9.985903e-01,8.751120e-03
sample8-20rpm-60kx-4,4.085740e+00,1.545751e-02,2.620240e-01,-1.467113e-02,-1.120700e-03,-3.080598e-04,1.294079e-03,9.994233e-01,40,9.993512e-01,5.687879e-03
sample8-20rpm-60kx-5,4.127737e+00,1.306813e-02,2.726623e-01,-1.400138e-02,-8.675906e-04,-3.303880e-04,2.143115e-03,9.990821e-01,40,9.989674e-01,7.319690e-03
sample8-20rpm-60kx-6,4.168453e+00,3.684854e-02,2.319956e-01,-1.858658e-02,-1.086831e-03,-4.166463e-04,4.182330e-03,9.983135e-01,40,9.981026e-01,1.022537e-02
sample8-20rpm-60kx-7,4.123413e+00,1.498801e-02,2.675029e-01,-1.425218e-02,-8.408529e-04,-3.436445e-04,2.744114e-03,9.988201e-01,40,9.986726e-01,8.282684e-03
sample8-20rpm-60kx-8,4.117092e+00,1.804720e-02,2.564076e-01,-1.518606e-02,-1.055366e-03,-3.299710e-04,1.569393e-03,9.993212e-01,40,9.992364e-01,6.263771e-03
sample8-20rpm-60kx-9,4.180573e+00,1.528725e-02,2.669809e-01,-1.476568e-02,-9.048040e-04,-3.474123e-04,1.933777e-03,9.992169e-01,40,9.991190e-01,6.953015e-03
sample9-195rpm-60kx-10,4.313217e+00,1.034137e-02,2.891411e-01,-1.430600e-02,-8.053078e-04,-3.573909e-04,1.716923e-03,9.993874e-01,40,9.993108e-01,6.551571e-03
sample9-195rpm-60kx-11,4.244989e+00,1.471367e-02,2.697800e-01,-1.499010e-02,-9.344310e-04,-3.533616e-04,1.701126e-03,9.993534e-01,40,9.992725e-01,6.521362e-03
sample9-195rpm-60kx-13,4.269987e+00,1.095835e-02,2.845297e-01,-1.429850e-02,-8.505934e-04,-3.474806e-04,1.612925e-03,9.994010e-01,40,9.993261e-01,6.350049e-03
sample9-195rpm-60kx-2,4.197602e+00,1.050157e-02,2.841062e-01,-1.387911e-02,-8.487421e-04,-3.298664e-04,1.632794e-03,9.993461e-01,40,9.992643e-01,6.389042e-03
sample9-195rpm-60kx-2b,4.185353e+00,1.926530e-02,2.552628e-01,-1.574581e-02,-1.101670e-03,-3.451615e-04,1.521471e-03,9.993890e-01,40,9.993127e-01,6.167397e-03
sample9-195rpm-60kx-2c,4.253031e+00,1.725459e-02,2.613542e-01,-1.570910e-02,-1.123601e-03,-3.482886e-04,1.295370e-03,9.995152e-01,40,9.994546e-01,5.690715e-03
sample9-195rpm-60kx-3,4.257411e+00,2.166158e-02,2.515850e-01,-1.662455e-02,-1.201042e-03,-3.607801e-04,1.345813e-03,9.995010e-01,40,9.994386e-01,5.800459e-03
sample9-195rpm-60kx-4,4.270071e+00,9.648848e-03,2.911888e-01,-1.395240e-02,-7.938188e-04,-3.461148e-04,1.749420e-03,9.993494e-01,40,9.992681e-01,6.613283e-03
sample9-195rpm-60kx-5,4.293079e+00,1.278254e-02,2.788774e-01,-1.470909e-02,-8.409922e-04,-3.651765e-04,1.950560e-03,9.992944e-01,40,9.992062e-01,6.983123e-03
